exposure_id,user_id,session_id,video_id,campaign_id,creative_id,gender,started_at,label_end_at,origin,is_ad,features,feature_version,complete,engage,continue,click,mask_complete,mask_engage,mask_continue,mask_click,watch_ms,early_skip,observed_close,model_version,selection_probability
9e1a0e91-b65d-5cb7-96bd-28bf13be7e8d,demo-user-0,demo-0-0,demo-video-3-0,,,man,2026-05-01T00:00:00+00:00,2026-05-02T00:00:03.775000+00:00,simulated,0,"{""affinity"": 0.5, ""category"": ""deportes"", ""duration_s"": 10.0, ""gender"": ""man"", ""is_ad"": 0, ""new_user"": 1, ""same_region"": 1, ""topic"": 0.5}",exposure-v1,0,0,1,0,1,1,1,0,3775,0,1,heuristic-v1,1
42eccb94-0366-543d-86f9-7bd197fbaa4d,demo-user-0,demo-0-0,demo-video-2-1,,,man,2026-05-01T00:00:04.775000+00:00,2026-05-02T00:00:06.981000+00:00,simulated,0,"{""affinity"": 0.5, ""category"": ""arte"", ""duration_s"": 15.0, ""gender"": ""man"", ""is_ad"": 0, ""new_user"": 1, ""same_region"": 0, ""topic"": 0.5}",exposure-v1,0,0,1,0,1,1,1,0,2206,0,1,heuristic-v1,1
056bb4ba-14f5-50b1-ac80-2f01491a1f82,demo-user-0,demo-0-0,demo-video-1-2,demo-campaign-2,demo-campaign-2-creative,man,2026-05-01T00:00:07.981000+00:00,2026-05-02T00:00:27.981000+00:00,simulated,1,"{""affinity"": 0.5, ""category"": ""musica"", ""duration_s"": 20.0, ""gender"": ""man"", ""is_ad"": 1, ""new_user"": 1, ""same_region"": 1, ""topic"": 0.5}",exposure-v1,1,0,1,0,1,1,1,1,20000,0,1,heuristic-v1,1
c0c2613a-6cf5-5334-9333-a2723a9585de,demo-user-0,demo-0-0,demo-video-1-3,,,man,2026-05-01T00:00:28.981000+00:00,2026-05-02T00:00:38.981000+00:00,simulated,0,"{""affinity"": 0.75, ""category"": ""musica"", ""duration_s"": 10.0, ""gender"": ""man"", ""is_ad"": 0, ""new_user"": 1, ""same_region"": 1, ""topic"": 0.75}",exposure-v1,1,0,1,0,1,1,1,0,10000,0,1,heuristic-v1,1
af922f65-673c-510b-9214-e50510bcee8d,demo-user-0,demo-0-0,demo-video-0-4,,,man,2026-05-01T00:00:39.981000+00:00,2026-05-02T00:00:44.324000+00:00,simulated,0,"{""affinity"": 0.5, ""category"": ""ciencia"", ""duration_s"": 15.0, ""gender"": ""man"", ""is_ad"": 0, ""new_user"": 1, ""same_region"": 0, ""topic"": 0.5}",exposure-v1,0,0,1,0,1,1,1,0,4343,0,1,heuristic-v1,1
55332d8d-a0f1-5555-8ac3-7e0c34c09675,demo-user-0,demo-0-0,demo-video-3-5,,,man,2026-05-01T00:00:45.324000+00:00,2026-05-02T00:00:47.885000+00:00,simulated,0,"{""affinity"": 0.25, ""category"": ""deportes"", ""duration_s"": 20.0, ""gender"": ""man"", ""is_ad"": 0, ""new_user"": 1, ""same_region"": 0, ""topic"": 0.25}",exposure-v1,0,0,1,0,1,1,1,0,2561,0,1,heuristic-v1,1
925ceffd-22ca-5468-bc0d-f130059245d6,demo-user-0,demo-0-0,demo-video-2-6,,,man,2026-05-01T00:00:48.885000+00:00,2026-05-02T00:00:59.267000+00:00,simulated,0,"{""affinity"": 0.25, ""category"": ""arte"", ""duration_s"": 15.0, ""gender"": ""man"", ""is_ad"": 0, ""new_user"": 1, ""same_region"": 1, ""topic"": 0.25}",exposure-v1,0,0,1,0,1,1,1,0,10382,0,1,heuristic-v1,1
07b96360-b295-5cc1-8e6f-4d9dbc1de240,demo-user-0,demo-0-0,demo-video-3-7,demo-campaign-4,demo-campaign-4-creative,man,2026-05-01T00:01:00.267000+00:00,2026-05-02T00:01:15.267000+00:00,simulated,1,"{""affinity"": 0.16666666666666666, ""category"": ""deportes"", ""duration_s"": 15.0, ""gender"": ""man"", ""is_ad"": 1, ""new_user"": 1, ""same_region"": 1, ""topic"": 0.16666666666666666}",exposure-v1,1,0,0,1,1,1,0,1,15000,0,1,heuristic-v1,1
9b1ed76c-8c21-5443-b25a-c8ca90a249d6,demo-user-1,demo-1-0,demo-video-0-0,,,woman,2026-05-01T00:03:00+00:00,2026-05-02T00:03:10+00:00,simulated,0,"{""affinity"": 0.5, ""category"": ""ciencia"", ""duration_s"": 10.0, ""gender"": ""woman"", ""is_ad"": 0, ""new_user"": 1, ""same_region"": 0, ""topic"": 0.5}",exposure-v1,1,0,1,0,1,1,1,0,10000,0,1,heuristic-v1,1
153eba0d-3cf2-5c6b-8752-849b19162d4b,demo-user-1,demo-1-0,demo-video-0-1,,,woman,2026-05-01T00:03:11+00:00,2026-05-02T00:03:26+00:00,simulated,0,"{""affinity"": 0.75, ""category"": ""ciencia"", ""duration_s"": 15.0, ""gender"": ""woman"", ""is_ad"": 0, ""new_user"": 1, ""same_region"": 1, ""topic"": 0.75}",exposure-v1,1,0,1,0,1,1,1,0,15000,0,1,heuristic-v1,1
