exposure_id	user_id	gender	origin	split	click	p_complete	p_engage	p_continue	p_click
string	string	discrete	discrete	discrete	0 1	continuous	continuous	continuous	continuous
meta	meta	meta	meta	meta	class				
6a375481-c665-5d34-84a6-7c66c736adb2	demo-user-29	unspecified	simulated	test	0	0.2901104986667633	0.0914478674530983	0.46683013439178467	0.09147685021162033
0e2dd697-6501-55f1-9924-10fa6dbcf0ef	demo-user-29	unspecified	simulated	test	0	0.6554398536682129	0.23080691695213318	0.5093732476234436	0.19808486104011536
8e8d8d5f-d291-51a6-bcc1-18359b36f2c8	demo-user-31	woman	simulated	test	0	0.3500761091709137	0.1224755346775055	0.45967525243759155	0.12212038040161133
5d2aa780-7e6b-5aa1-b48e-bf1900d59463	demo-user-31	woman	simulated	test	0	0.3839505910873413	0.11977317929267883	0.41642212867736816	0.1308973878622055
6fe2c81d-2459-503b-ac5c-2335aa966934	demo-user-32	other	simulated	test	0	0.3702666163444519	0.11129432916641235	0.5213788151741028	0.1262151002883911
85e53df4-5fee-5a84-bba3-02a167ff6342	demo-user-32	other	simulated	test	0	0.38637593388557434	0.11949226260185242	0.5186996459960938	0.13331866264343262
c5fda5b5-8255-5b12-9cee-9f63d52fccd7	demo-user-35	man	simulated	test	0	0.4156954288482666	0.14284735918045044	0.4939279854297638	0.15975289046764374
020b7c0f-886a-5c1d-9a90-2ae9b86be0b1	demo-user-35	man	simulated	test	0	0.4319501221179962	0.13935373723506927	0.4145357608795166	0.14627310633659363
15106c83-0274-5dd4-8133-bb3a9e779d1a	demo-user-36	woman	simulated	test	0	0.3402920961380005	0.0862022414803505	0.4941076636314392	0.10896258801221848
ab6e5d58-4cbd-5a71-ac36-c1650d838152	demo-user-36	woman	simulated	test	1	0.5783592462539673	0.20261335372924805	0.4288928508758545	0.23231004178524017
d6af8f5b-a6fe-5cad-9676-35507c421782	demo-user-37	other	simulated	test	0	0.5098380446434021	0.1849309504032135	0.48924827575683594	0.19538187980651855
67e61efe-da5b-5e56-aaa1-cf8f44ada915	demo-user-37	other	simulated	test	0	0.5181034803390503	0.18305931985378265	0.44501379132270813	0.20467603206634521
704cf334-fd7b-591d-91c1-122ad2dd6c29	demo-user-38	prefer_not_to_say	simulated	test	0	0.5659646987915039	0.18999411165714264	0.4659825265407562	0.16564980149269104
c7da133e-eced-5d89-968e-19ee51eb6a8e	demo-user-38	prefer_not_to_say	simulated	test	0	0.44665682315826416	0.128048375248909	0.4375835955142975	0.10441743582487106
7c7e1150-e347-57fc-9272-07a6b585aeb0	demo-user-39	unspecified	simulated	test	0	0.6745608448982239	0.2029520720243454	0.4809456467628479	0.14471635222434998
742d3209-4392-5274-89ed-258724b6140c	demo-user-39	unspecified	simulated	test	0	0.6271648406982422	0.19828468561172485	0.47505253553390503	0.16339856386184692
da59c2f3-2264-59e8-94a3-1e30eff750f8	demo-user-40	man	simulated	test	0	0.42430901527404785	0.13606005907058716	0.4554939568042755	0.16722865402698517
18601a08-8c28-5ecf-8744-8a8c1744ac97	demo-user-40	man	simulated	test	1	0.43544846773147583	0.14191223680973053	0.5212923884391785	0.15302401781082153
1372e548-8059-5110-bc58-22bc87755a26	demo-user-41	woman	simulated	test	0	0.4658264219760895	0.15287689864635468	0.4911932349205017	0.12943343818187714
99b2fcce-bdc9-5ddf-9735-6e3b64ad15ca	demo-user-41	woman	simulated	test	0	0.4921504557132721	0.14549735188484192	0.4473249018192291	0.15088702738285065
dcb413bc-eda2-5d27-b688-9966dce70ec7	demo-user-42	other	simulated	test	0	0.6208779215812683	0.19821467995643616	0.43970465660095215	0.20284704864025116
