exposure_id	user_id	gender	origin	split	complete	p_complete	p_engage	p_continue	p_click
string	string	discrete	discrete	discrete	0 1	continuous	continuous	continuous	continuous
meta	meta	meta	meta	meta	class				
9d89c51f-7581-5feb-9af7-e37ecec9af57	demo-user-29	unspecified	simulated	test	0	0.6634764075279236	0.21584026515483856	0.9244527220726013	0.1903785914182663
7a91ae3e-ad71-5e85-98d5-5981d21c2911	demo-user-29	unspecified	simulated	test	0	0.29426950216293335	0.07364561408758163	0.9224385023117065	0.11947405338287354
6a375481-c665-5d34-84a6-7c66c736adb2	demo-user-29	unspecified	simulated	test	1	0.2901104986667633	0.0914478674530983	0.46683013439178467	0.09147685021162033
7532cf53-b80c-5434-a0aa-0cdc5d46388c	demo-user-29	unspecified	simulated	test	0	0.2734518349170685	0.07386285811662674	0.9201647043228149	0.1257576048374176
6afa4af4-6066-50ef-a186-c4a1d2adfe01	demo-user-29	unspecified	simulated	test	1	0.6625848412513733	0.20659604668617249	0.920963704586029	0.18986451625823975
37627ad0-07fb-5fe8-8194-45baf244660f	demo-user-29	unspecified	simulated	test	1	0.6649736762046814	0.20710182189941406	0.9214574098587036	0.18933366239070892
2f775003-6bb0-5fb2-a462-84d799ddcdd0	demo-user-29	unspecified	simulated	test	0	0.4267425537109375	0.15948006510734558	0.905566930770874	0.15442194044589996
0e2dd697-6501-55f1-9924-10fa6dbcf0ef	demo-user-29	unspecified	simulated	test	1	0.6554398536682129	0.23080691695213318	0.5093732476234436	0.19808486104011536
3d497115-62d4-53d9-9f3b-3ddd7f923c77	demo-user-31	woman	simulated	test	0	0.5290406942367554	0.15666504204273224	0.9122779369354248	0.17798322439193726
5fe073a0-04af-5a15-9b3a-88f8645325dc	demo-user-31	woman	simulated	test	0	0.6061608195304871	0.2215135246515274	0.9146773219108582	0.20026135444641113
8e8d8d5f-d291-51a6-bcc1-18359b36f2c8	demo-user-31	woman	simulated	test	1	0.3500761091709137	0.1224755346775055	0.45967525243759155	0.12212038040161133
8232ed63-c925-5fd1-9565-6c0c294d8d69	demo-user-31	woman	simulated	test	0	0.3627767562866211	0.1423880159854889	0.9211551547050476	0.13970695436000824
64c82429-4e7c-51ec-a190-79b4498b8fa5	demo-user-31	woman	simulated	test	1	0.5996199250221252	0.21964536607265472	0.9136979579925537	0.20074330270290375
61ce4948-9316-528d-9675-0dabcec25173	demo-user-31	woman	simulated	test	1	0.49456706643104553	0.16585421562194824	0.9218050241470337	0.17727228999137878
9d299e06-5bea-5d1d-a2b7-474d6d3c947c	demo-user-31	woman	simulated	test	1	0.5850427150726318	0.2304328978061676	0.9094750881195068	0.20463785529136658
5d2aa780-7e6b-5aa1-b48e-bf1900d59463	demo-user-31	woman	simulated	test	0	0.3839505910873413	0.11977317929267883	0.41642212867736816	0.1308973878622055
9a31df99-1b46-577d-84c3-122822ce2a3d	demo-user-32	other	simulated	test	1	0.48173558712005615	0.1292794793844223	0.9335629940032959	0.13913142681121826
42328cdd-872b-503a-9683-3f55dd027385	demo-user-32	other	simulated	test	1	0.4604068994522095	0.14483554661273956	0.9192066192626953	0.16498515009880066
6fe2c81d-2459-503b-ac5c-2335aa966934	demo-user-32	other	simulated	test	1	0.3702666163444519	0.11129432916641235	0.5213788151741028	0.1262151002883911
10ac96d7-e49c-5fcc-8c74-1079aba2a1dc	demo-user-32	other	simulated	test	1	0.45183905959129333	0.14098064601421356	0.9363836646080017	0.14601220190525055
5cdeb00f-b613-55f9-bf93-09a1835afa6c	demo-user-32	other	simulated	test	1	0.37606075406074524	0.13040833175182343	0.9185808300971985	0.1445489227771759
