exposure_id	user_id	gender	origin	split	complete	p_complete	p_engage	p_continue	p_click
string	string	discrete	discrete	discrete	0 1	continuous	continuous	continuous	continuous
meta	meta	meta	meta	meta	class				
c401b41c-0eca-5624-9798-d9892565ce3b	demo-user-41	woman	simulated	test	1	0.5549022555351257	0.19636988639831543	0.91718989610672	0.1594686359167099
6b3bc63e-e8d0-5638-8744-c6b6e83bd3d2	demo-user-41	woman	simulated	test	1	0.522210419178009	0.20268039405345917	0.9242010712623596	0.15505939722061157
f72cb318-db56-5cb0-80e1-60c74e5b0da8	demo-user-41	woman	simulated	test	0	0.53267502784729	0.20884758234024048	0.49687278270721436	0.20111683011054993
4551128b-b18e-58bc-bc5c-8d03cfa73532	demo-user-41	woman	simulated	test	0	0.44678932428359985	0.13917912542819977	0.9291507601737976	0.13142436742782593
2319c165-e4c4-568b-97a5-af248fc0978c	demo-user-41	woman	simulated	test	1	0.5265331864356995	0.20477648079395294	0.9089851975440979	0.18863850831985474
92d60334-95e9-58dd-8b84-20043ada17b3	demo-user-41	woman	simulated	test	1	0.6083494424819946	0.20491567254066467	0.9280699491500854	0.1666145622730255
1796e980-3448-5696-9a79-282c8e00b373	demo-user-41	woman	simulated	test	0	0.5733715295791626	0.19792385399341583	0.9105466604232788	0.17408902943134308
8607b5bb-8bb8-5320-902f-a0a3a2e36f12	demo-user-41	woman	simulated	test	1	0.4587166905403137	0.15729288756847382	0.4534226357936859	0.1516052931547165
955255b5-b386-5e52-9f08-2a387388088d	demo-user-42	other	simulated	test	1	0.542182981967926	0.214609757065773	0.8963682055473328	0.19547709822654724
f52fa9a2-e4ac-52b7-ba25-ab11f8406151	demo-user-42	other	simulated	test	0	0.5667170286178589	0.19651563465595245	0.9102102518081665	0.1742008924484253
33a1b3a9-d840-50ff-8365-cbb6daab8553	demo-user-42	other	simulated	test	1	0.5424150228500366	0.21094641089439392	0.44334253668785095	0.1777481734752655
9a7ec086-00dd-5a4d-8b09-a3a1012631dc	demo-user-42	other	simulated	test	0	0.5371982455253601	0.21367637813091278	0.89607834815979	0.19578047096729279
b7ef4343-60fa-5a41-86e3-83f5da255c6a	demo-user-42	other	simulated	test	0	0.48318400979042053	0.17215269804000854	0.9078609347343445	0.16221633553504944
0817275a-d814-5192-8c74-003859abbe88	demo-user-42	other	simulated	test	0	0.45608046650886536	0.1647282987833023	0.902238130569458	0.16126428544521332
adca9505-8ba2-5da5-bfce-5538b9e38123	demo-user-42	other	simulated	test	0	0.3725028336048126	0.13208098709583282	0.9159790873527527	0.1940489560365677
32dc4a5e-5454-5871-afec-02dc062aa160	demo-user-42	other	simulated	test	1	0.5500216484069824	0.1957203596830368	0.4441550076007843	0.17250725626945496
edc83ed1-061b-5029-96d0-273e2f774371	demo-user-43	prefer_not_to_say	simulated	test	0	0.5225023031234741	0.19142505526542664	0.9125679135322571	0.16698592901229858
8b047a74-59a2-57e1-b487-df2f24acff7d	demo-user-43	prefer_not_to_say	simulated	test	1	0.5330567955970764	0.18603719770908356	0.926503598690033	0.18300355970859528
a9a73aba-304b-5250-bcea-431a7a490be1	demo-user-43	prefer_not_to_say	simulated	test	1	0.4992583096027374	0.18387305736541748	0.4450639486312866	0.17066553235054016
4bd795c7-7796-5f2f-89b2-ec99b2ca492e	demo-user-43	prefer_not_to_say	simulated	test	0	0.4847489595413208	0.19931894540786743	0.8967947363853455	0.19340987503528595
a9317470-e0dc-5a57-888b-1fbd37c45984	demo-user-43	prefer_not_to_say	simulated	test	0	0.560354471206665	0.19139432907104492	0.9186493754386902	0.18687885999679565
